rank,lemma,original_sentence,final_sentence,original_english_sentence
22637,adivinando,Desnoyers volvió a entregarse al desaliento adivinando la ineficacia de ruegos y protestas.,Desnoyers volvió a entregarse al desaliento adivinando la ineficacia de ruegos.,Desnoyers returned to discouragement by guessing the ineffectiveness of petitions and protests.
22638,asumirá,Hans haekkerup le deseamos éxito en su nueva función que asumirá a partir de enero próximo.,Asumirá a partir de enero próximo.,Hans haekkerup wishes him success in his new role which he will take on from next January.
22653,votamos,Permítanme que para terminar diga lo siguiente si votamos mañana adoptaremos decisiones de una notable trascendencia.,Votamos mañana adoptaremos decisiones.,Let me conclude by saying the following if we vote tomorrow we will take decisions of considerable importance.
22657,demostrará,Demostrará que no se han superado los requisitos en materia de consumo de energía presentando los documentos correspondientes.,Demostrará que no se han superado.,It shall demonstrate that the energy consumption requirements have not been exceeded by submitting the relevant documents.
22674,geográficos,El gobierno griego estableció una lista de candidatos de acuerdo con criterios políticos geográficos y territoriales.,Criterios políticos geográficos.,The Greek government established a list of candidates according to geographical and territorial political criteria.
22693,agotando,Sí y de ellos voy cobrando poco a poco pero ya se va agotando esa mina.,Ya se va agotando esa mina.,"Yeah, and from them, I'm charging little by little, but that mine is running out."
22695,condenan,Todos los gobiernos representados condenan a mi hermano públicamente y le dan la bienvenida en privado.,Todos los gobiernos representados condenan a mi hermano públicamente.,All the Governments represented publicly condemn my brother and welcome him in private.
22719,eruditos,Así es como son todos los oficiales eruditos por eso no se puede confiar en ellos.,Los oficiales eruditos.,That's how all the learned officers are so you can't trust them.
22741,dejados,Los demás aspectos de la política estructural fueron dejados para el próximo consejo.,Fueron dejados para el próximo consejo.,The other aspects of structural policy were left for the next council.
22743,excesivas,No será de aplicación el apartado ante solicitudes excesivas o desmedidas especialmente si son reiterativas.,No será de aplicación el apartado ante solicitudes excesivas.,"The paragraph shall not apply to excessive or excessive requests, especially if they are repetitive."
22759,juntó,Así que se juntó con una cantante japonesa que se llamaba yoko ono.,Se juntó con una cantante japonesa.,So he met with a Japanese singer named Yoko Ono.
22766,veladas,Incluso se han organizado comidas y veladas especiales entre los estudiantes para facilitar el contacto entre ellos.,Veladas especiales entre los estudiantes para facilitar el contacto entre ellos.,Even special meals and evenings have been organized among students to facilitate contact between them.
22795,peronismo,Forma parte de la mesa ejecutiva de la agrupación peronismo x la ciudad.,La agrupación peronismo x la ciudad.,It is part of the executive board of the Peronism group x the city.
22810,instó,La comisión instó a los gobiernos a prestar su pleno apoyo a las dos operaciones.,La comisión instó a los gobiernos.,The commission urged Governments to lend their full support to the two operations.
22818,transcurrir,El curso de la historia europea es como el transcurrir de una vida.,Como el transcurrir de una vida.,The course of European history is like the passing of a life.
22834,alquileres,En el procedimiento de extrapolación deberán distinguirse los alquileres reales de los imputados.,Los alquileres reales de los imputados.,"In the extrapolation procedure, the actual rents of the accused must be distinguished."
22842,diciéndoles,Han llamado a los sirvientes diciéndoles que su hijo estaba en el hospital.,Los sirvientes diciéndoles que su hijo estaba.,They called the servants telling them that their son was in the hospital.
22854,bulevar,Llegaré despacio hasta ei bulevar y en horas estaré en casa de nuevo.,Llegaré despacio hasta ei bulevar.,I'll get to the boulevard slowly and in hours I'll be home again.
22876,denominar,Se ha usado su nombre para denominar pistas de skate en diferentes lugares de españa.,Denominar pistas de skate.,Its name has been used to name skate tracks in different places of Spain.
22932,considerará,Esta disposición se considerará cumplida por toda aeronave sometida a un registro de seguridad.,Considerará cumplida por toda aeronave sometida.,This provision shall be deemed to have been complied with by any aircraft subject to a security record.
22951,colaboran,En albania los ministerios de educación y agricultura colaboran en iniciativas de enseñanza de la agricultura.,Agricultura colaboran en iniciativas de enseñanza de la agricultura.,"In Albania, ministries of education and agriculture are collaborating in agricultural education initiatives."
22985,designó,Se designó como novato del año a rodolfo hernández de los charros de jalisco.,Se designó como novato del año.,Rodolfo hernández de los charros de jalisco was designated as a rookie of the year.
22994,paros,A c arquíloco de paros primer poeta lírico griego nacido en a c.,Paros primer poeta lírico griego nacido.,A c archiloque of the first Greek lyrical poets born in a c.
23022,desencadenó,Por otra parte se desencadenó un conflicto prolongado en el sector de la enseñanza.,Se desencadenó un conflicto prolongado en el sector de la enseñanza.,"On the other hand, there was a protracted conflict in the education sector."
23030,sofisticadas,Quiero decir ésta es una de las propiedades más sofisticadas de la ciudad.,Propiedades más sofisticadas de la ciudad.,"I mean, this is one of the most sophisticated properties in the city."
23035,brindan,Se trata de misiones de investigación que brindan también la oportunidad de formular recomendaciones.,Investigación que brindan también la oportunidad.,These are fact-finding missions that also provide an opportunity to make recommendations.
23044,inhala,Ahora inhala tu dioxido de carbono y es todo lo que tienes que hacer.,Ahora inhala tu dioxido de carbono.,Now inhale your carbon dioxide and that's all you have to do.
23074,destruirme,Es su forma de destruirme finalmente por no ser lo que él quería que fuera.,Destruirme finalmente por no ser lo.,It's his way of finally destroying me for not being what he wanted me to be.
23083,trabajarán,Estoy seguro de que trabajarán duro para llevar a esos animales a la justicia.,Trabajarán duro para llevar.,I'm sure they'll work hard to bring those animals to justice.
23086,alumnado,El alumnado tendrá derecho a recibir atención sanitaria en los términos previstos en la normativa vigente.,El alumnado tendrá derecho.,Students shall have the right to receive health care in accordance with the regulations in force.
